ano,estado,producao
2000,Minas Gerais,5865
2000,Parana,1799
2000,Rio Grande do Sul,2102
2000,Santa Catarina,1003
2000,Goiás,2194
2000,São Paulo,1861
2000,Bahia,725
2000,Pernambuco,292
2000,Ceará,332
2000,Rondônia,422
2001,Minas Gerais,5981
2001,Parana,1890
2001,Rio Grande do Sul,2222
2001,Santa Catarina,1076
2001,Goiás,2322
2001,São Paulo,1783
2001,Bahia,739
2001,Pernambuco,360
2001,Ceará,328
2001,Rondônia,476
2002,Minas Gerais,6177
2002,Parana,1985
2002,Rio Grande do Sul,2330
2002,Santa Catarina,1193
2002,Goiás,2483
2002,São Paulo,1746
2002,Bahia,752
2002,Pernambuco,388
2002,Ceará,341
2002,Rondônia,644
2003,Minas Gerais,6320
2003,Parana,2141
2003,Rio Grande do Sul,2306
2003,Santa Catarina,1332
2003,Goiás,2523
2003,São Paulo,1785
2003,Bahia,795
2003,Pernambuco,376
2003,Ceará,353
2003,Rondônia,559
2004,Minas Gerais,6629
2004,Parana,2395
2004,Rio Grande do Sul,2365
2004,Santa Catarina,1487
2004,Goiás,2538
2004,São Paulo,1739
2004,Bahia,843
2004,Pernambuco,398
2004,Ceará,363
2004,Rondônia,646
2005,Minas Gerais,6909
2005,Parana,2568
2005,Rio Grande do Sul,2468
2005,Santa Catarina,1556
2005,Goiás,2649
2005,São Paulo,1744
2005,Bahia,890
2005,Pernambuco,527
2005,Ceará,368
2005,Rondônia,692
2006,Minas Gerais,7094
2006,Parana,2704
2006,Rio Grande do Sul,2625
2006,Santa Catarina,1710
2006,Goiás,2614
2006,São Paulo,1744
2006,Bahia,906
2006,Pernambuco,630
2006,Ceará,380
2006,Rondônia,637
2007,Minas Gerais,7275
2007,Parana,2701
2007,Rio Grande do Sul,2944
2007,Santa Catarina,1866
2007,Goiás,2639
2007,São Paulo,1627
2007,Bahia,966
2007,Pernambuco,662
2007,Ceará,416
2007,Rondônia,708
2008,Minas Gerais,7657
2008,Parana,2828
2008,Rio Grande do Sul,3315
2008,Santa Catarina,2126
2008,Goiás,2874
2008,São Paulo,1589
2008,Bahia,952
2008,Pernambuco,726
2008,Ceará,425
2008,Rondônia,723
2009,Minas Gerais,7931
2009,Parana,3339
2009,Rio Grande do Sul,3400
2009,Santa Catarina,2218
2009,Goiás,3003
2009,São Paulo,1584
2009,Bahia,1182
2009,Pernambuco,788
2009,Ceará,433
2009,Rondônia,747
2010,Minas Gerais,8388
2010,Parana,3596
2010,Rio Grande do Sul,3634
2010,Santa Catarina,2381
2010,Goiás,3194
2010,São Paulo,1606
2010,Bahia,1239
2010,Pernambuco,877
2010,Ceará,444
2010,Rondônia,803
2011,Minas Gerais,8756
2011,Parana,3816
2011,Rio Grande do Sul,3879
2011,Santa Catarina,2531
2011,Goiás,3482
2011,São Paulo,1601
2011,Bahia,1181
2011,Pernambuco,953
2011,Ceará,465
2011,Rondônia,707
2012,Minas Gerais,8906
2012,Parana,3969
2012,Rio Grande do Sul,4049
2012,Santa Catarina,2718
2012,Goiás,3546
2012,São Paulo,1690
2012,Bahia,1079
2012,Pernambuco,609
2012,Ceará,462
2012,Rondônia,717
2013,Minas Gerais,9309
2013,Parana,4347
2013,Rio Grande do Sul,4509
2013,Santa Catarina,2918
2013,Goiás,3777
2013,São Paulo,1676
2013,Bahia,1163
2013,Pernambuco,562
2013,Ceará,455
2013,Rondônia,920
2014,Minas Gerais,9370
2014,Parana,4541
2014,Rio Grande do Sul,4687
2014,Santa Catarina,2983
2014,Goiás,3659
2014,São Paulo,1736
2014,Bahia,1212
2014,Pernambuco,657
2014,Ceará,498
2014,Rondônia,941
2015,Minas Gerais,9145
2015,Parana,4660
2015,Rio Grande do Sul,4600
2015,Santa Catarina,3060
2015,Goiás,3406
2015,São Paulo,1768
2015,Bahia,984
2015,Pernambuco,856
2015,Ceará,489
2015,Rondônia,818
2016,Minas Gerais,8914
2016,Parana,4726
2016,Rio Grande do Sul,4614
2016,Santa Catarina,3114
2016,Goiás,2933
2016,São Paulo,1706
2016,Bahia,858
2016,Pernambuco,837
2016,Ceará,528
2016,Rondônia,791